timestamp,exchange,bid,ask,bid_vol,ask_vol
2025-07-25T07:34:18.425036,bitrue,177.3,177.33,101.356,117.858
2025-07-25T07:34:18.425121,bitrue,177.24,177.28,96.659,119.448
2025-07-25T07:34:18.440861,bitrue,177.21,177.25,91.06,116.562
2025-07-25T07:34:18.440953,bitrue,177.24,177.28,132.221,119.448
2025-07-25T07:34:18.441108,bitrue,177.21,177.28,91.06,119.448
2025-07-25T07:34:18.441214,bitrue,177.21,177.25,91.06,113.69
2025-07-25T07:34:18.441326,bitrue,177.16,177.19,100.653,116.043
2025-07-25T07:34:18.441403,bitrue,177.14,177.19,48.125,116.043
2025-07-25T07:34:18.441544,bitrue,176.98,177.03,75.214,122.761
2025-07-25T07:34:18.441650,bitrue,177.08,177.12,133.417,130.014
2025-07-25T07:34:18.441809,bitrue,177.0,177.04,114.557,95.184
2025-07-25T07:34:18.459601,huobi,177.549,177.5905,5.13,3.68
2025-07-25T07:34:18.459663,huobi,177.5595,177.573,1.575,1.544
2025-07-25T07:34:18.459827,huobi,177.567,177.573,1.569,1.544
2025-07-25T07:34:18.460809,huobi,177.5167,177.5685,5.13,1.482
2025-07-25T07:34:18.460966,huobi,177.5626,177.5685,1.462,1.482
2025-07-25T07:34:18.461151,huobi,177.5672,177.5905,1.539,3.68
2025-07-25T07:34:18.461283,huobi,177.5672,177.5762,1.539,1.557
2025-07-25T07:34:18.461806,huobi,177.5696,177.5762,5.13,1.557
2025-07-25T07:34:18.461923,huobi,177.568,177.5762,5.13,1.557
2025-07-25T07:34:18.461982,huobi,177.5433,177.6053,0.169,3.68
2025-07-25T07:34:18.462038,huobi,177.5445,177.6053,5.13,3.68
2025-07-25T07:34:18.462076,huobi,177.5445,177.5805,5.13,1.478
2025-07-25T07:34:18.462136,huobi,177.5715,177.5805,1.521,6.608
2025-07-25T07:34:18.462184,huobi,177.5715,177.5805,1.521,1.478
2025-07-25T07:34:18.462243,huobi,177.5759,177.5893,1.594,5.527
2025-07-25T07:34:18.462320,huobi,177.5764,177.5893,5.13,5.527
2025-07-25T07:34:18.462416,huobi,177.6022,177.6391,1.458,3.68
2025-07-25T07:34:18.462471,huobi,177.5816,177.6391,5.13,3.68
2025-07-25T07:34:18.462543,huobi,177.5659,177.6391,5.527,3.68
2025-07-25T07:34:18.462638,huobi,177.566,177.611,5.13,6.615
2025-07-25T07:34:18.462694,huobi,177.566,177.611,5.13,1.485
2025-07-25T07:34:18.462731,huobi,177.6025,177.611,1.554,1.485
2025-07-25T07:34:18.462768,huobi,177.6069,177.6239,1.474,5.527
2025-07-25T07:34:18.462949,huobi,177.6069,177.6185,1.474,1.513
2025-07-25T07:34:18.463041,huobi,177.6184,177.6239,1.488,5.527
