2025-07-24 06:20:23,427 | INFO | [krakenfutures] 🔁 发送心跳: {"event": "subscribe", "feed": "heartbeat"}
2025-07-24 06:20:23,594 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'event': 'alert', 'message': 'Already subscribed to feed, re-requesting'}
2025-07-24 06:20:29,597 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'feed': 'heartbeat', 'time': 1753338029572}
2025-07-24 06:20:33,428 | INFO | [krakenfutures] 🔁 发送心跳: {"event": "subscribe", "feed": "heartbeat"}
2025-07-24 06:20:33,595 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'event': 'alert', 'message': 'Already subscribed to feed, re-requesting'}
2025-07-24 06:20:39,597 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'feed': 'heartbeat', 'time': 1753338039572}
2025-07-24 06:20:43,428 | INFO | [krakenfutures] 🔁 发送心跳: {"event": "subscribe", "feed": "heartbeat"}
2025-07-24 06:20:43,596 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'event': 'alert', 'message': 'Already subscribed to feed, re-requesting'}
2025-07-24 06:20:49,597 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'feed': 'heartbeat', 'time': 1753338049572}
2025-07-24 06:20:53,429 | INFO | [krakenfutures] 🔁 发送心跳: {"event": "subscribe", "feed": "heartbeat"}
2025-07-24 06:20:53,597 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'event': 'alert', 'message': 'Already subscribed to feed, re-requesting'}
2025-07-24 06:20:59,597 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'feed': 'heartbeat', 'time': 1753338059572}
2025-07-24 06:21:03,431 | INFO | [krakenfutures] 🔁 发送心跳: {"event": "subscribe", "feed": "heartbeat"}
2025-07-24 06:21:03,599 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'event': 'alert', 'message': 'Already subscribed to feed, re-requesting'}
2025-07-24 06:21:09,597 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'feed': 'heartbeat', 'time': 1753338069573}
2025-07-24 06:21:13,431 | INFO | [krakenfutures] 🔁 发送心跳: {"event": "subscribe", "feed": "heartbeat"}
2025-07-24 06:21:13,599 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'event': 'alert', 'message': 'Already subscribed to feed, re-requesting'}
2025-07-24 06:21:19,597 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'feed': 'heartbeat', 'time': 1753338079572}
2025-07-24 06:21:23,433 | INFO | [krakenfutures] 🔁 发送心跳: {"event": "subscribe", "feed": "heartbeat"}
2025-07-24 06:21:23,600 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'event': 'alert', 'message': 'Already subscribed to feed, re-requesting'}
2025-07-24 06:21:29,597 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'feed': 'heartbeat', 'time': 1753338089572}
2025-07-24 06:21:33,434 | INFO | [krakenfutures] 🔁 发送心跳: {"event": "subscribe", "feed": "heartbeat"}
2025-07-24 06:21:33,602 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'event': 'alert', 'message': 'Already subscribed to feed, re-requesting'}
2025-07-24 06:21:52,129 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'feed': 'heartbeat', 'time': 1753338099572}
2025-07-24 06:21:52,130 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'feed': 'heartbeat', 'time': 1753338109572}
2025-07-24 06:21:52,159 | INFO | [krakenfutures] 🔁 发送心跳: {"event": "subscribe", "feed": "heartbeat"}
2025-07-24 06:24:38,565 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'event': 'alert', 'message': 'Already subscribed to feed, re-requesting'}
2025-07-24 06:24:38,566 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'feed': 'heartbeat', 'time': 1753338119572}
2025-07-24 06:24:38,567 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'feed': 'heartbeat', 'time': 1753338129572}
2025-07-24 06:24:38,569 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'feed': 'heartbeat', 'time': 1753338139572}
2025-07-24 06:24:38,570 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'feed': 'heartbeat', 'time': 1753338149573}
2025-07-24 06:24:38,571 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'feed': 'heartbeat', 'time': 1753338159572}
2025-07-24 06:24:38,573 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'feed': 'heartbeat', 'time': 1753338169572}
2025-07-24 06:24:38,576 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'feed': 'heartbeat', 'time': 1753338179572}
2025-07-24 06:24:38,578 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'feed': 'heartbeat', 'time': 1753338189572}
2025-07-24 06:24:50,856 | ERROR | [krakenfutures] 接收循环异常: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-07-24 06:24:52,135 | WARNING | [krakenfutures] ⚠️ 心跳发送失败: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-07-24 06:24:52,585 | ERROR | [krakenfutures] 异常: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-07-24 06:24:52,585 | INFO | [krakenfutures] WebSocket 已断开
